a,b,c,d,e,f,g,h,i,j,k,l,m
214955,136032,229483849,37.39317532,-83.7832577,40.781545,-73.94959,15244,55989902,37.30791929,-118.8675652,34.066842,-118.301495
190436,136032,55307933,40.49547348,-74.43725572,40.781545,-73.94959,102693,34998618,41.48101229,-84.90397794,42.420664,-83.157255
202937,136032,163047112,38.24171482,-80.27341852,40.781545,-73.94959,191242,23731038,30.94091283,-95.2038635,29.715277,-95.491289
201199,136032,142600957,39.55632316,-80.07235841,40.781545,-73.94959,49885,17218472,27.61675526,-81.3039541,27.783201,-82.632914
191638,136032,93928192,40.83729464,-78.63650661,40.781545,-73.94959,148591,16332865,34.77857835,-82.03091665,35.786011,-78.680179
189713,102693,18155963,41.14050491,-82.58879307,42.420664,-83.157255,60041,14377825,42.16018443,-87.69796349,41.997296,-87.65714
188278,15244,21613678,33.8868696,-117.9165331,34.066842,-118.301495,30322,12866803,37.72678159,-121.5987671,37.339847,-121.835968
213907,15244,45353650,35.21784312,-118.190662,34.066842,-118.301495,207675,9429370,46.35941852,-122.3520214,47.619879,-122.324197
170143,136032,29705824,40.65736338,-74.22610744,40.781545,-73.94959,40333,7292201,39.01458865,-76.97797306,38.929186,-77.039296
173940,136032,38336344,40.33725666,-74.78293582,40.781545,-73.94959,94743,6792313,42.2984406,-71.23134547,42.336346,-71.081034
190602,148591,8305756,35.49363938,-80.3419679,35.786011,-78.680179,54681,6531323,33.99534793,-84.39115005,33.778138,-84.38445
194314,191242,10740188,29.91696637,-96.44815485,29.715277,-95.491289,186293,6386790,32.85723249,-96.94803864,32.809842,-96.778457
187144,102693,6356166,42.46852516,-83.4566588,42.420664,-83.157255,151428,6306847,40.9292353,-80.89806171,41.483619,-81.593708
178903,49885,7642103,28.22399398,-81.93365971,27.783201,-82.632914,46841,6080966,26.20185024,-80.2471687,25.768037,-80.212837
203861,15244,38934440,35.49439567,-119.1384367,34.066842,-118.301495,5388,5309094,33.27506553,-111.8179104,33.47851,-112.172982
150590,136032,19455890,40.79619406,-73.84054113,40.781545,-73.94959,171995,5134692,39.99376174,-75.18827002,39.916569,-75.159038
189320,102693,13255652,41.67849279,-82.15200857,42.420664,-83.157255,153826,4646896,39.63025049,-83.83240627,39.128925,-84.516085
214956,136032,285473751,37.37645407,-90.66433497,40.781545,-73.94959,34616,4521131,39.67545617,-104.9967289,39.694929,-105.020282
201325,191242,18948204,31.09604493,-96.49760552,29.715277,-95.491289,84608,4514559,30.3007739,-89.75731064,29.927681,-90.07095
206590,136032,205273438,37.24441705,-82.87058253,40.781545,-73.94959,105811,4097151,44.93378497,-93.21635658,44.952841,-93.282121
192958,191242,6205117,29.79947641,-95.33989503,29.715277,-95.491289,184114,4055623,29.9776274,-98.10883093,29.436877,-98.519092
218396,136032,304913757,37.50115839,-91.58991307,40.781545,-73.94959,219631,3725789,18.2804225,-66.3464668,18.449196,-66.040989
203967,136032,190637540,37.29428129,-82.27629832,40.781545,-73.94959,160482,3090934,35.78049598,-96.19515589,35.477323,-97.540796
192471,136032,114531767,39.79068506,-79.3403038,40.781545,-73.94959,133797,2926635,43.04992161,-77.54312809,43.177652,-77.568268
162439,15244,16298360,33.97425764,-118.0395817,34.066842,-118.301495,26637,2921264,32.8700577,-117.1230838,32.715551,-117.164636
195203,207675,4415152,47.59354977,-122.3540321,47.619879,-122.324197,163733,2802248,45.40378167,-122.7536681,45.517476,-122.631465
200536,136032,138640363,39.58094244,-79.83291131,40.781545,-73.94959,114550,2757468,38.62616192,-90.36182343,38.576267,-90.236495
214957,136032,289994882,37.41229639,-90.88778247,40.781545,-73.94959,199870,2432476,40.73174171,-111.8793989,40.661939,-112.019386
204517,136032,196975723,37.24413106,-82.62515655,40.781545,-73.94959,77330,2414336,39.05571478,-94.70195024,38.974747,-94.69811
180247,148591,2641682,35.92559842,-79.29060496,35.786011,-78.680179,146580,2335858,35.31948912,-80.93220358,35.1934,-80.721041
181302,151428,3495900,41.28235724,-81.49196992,41.483619,-81.593708,164791,2092693,40.45895849,-79.94667976,40.439808,-79.95479
167761,49885,3880870,27.86542134,-82.44192154,27.783201,-82.632914,48362,2056262,28.56913106,-81.37077972,28.48217,-81.404735
189714,102693,32533788,41.59113715,-84.84671514,42.420664,-83.157255,72105,1921739,39.82033479,-86.06542809,39.772231,-86.092943
200700,15244,36472879,35.43365071,-119.339995,34.066842,-118.301495,118004,1914397,36.14006505,-115.1636417,36.205145,-115.108802
168839,30322,7779908,37.67273197,-121.9938897,37.339847,-121.835968,25088,1868391,38.61276014,-121.3869499,38.461221,-121.386811
190689,136032,91157250,40.89041419,-78.45443537,40.781545,-73.94959,80461,1809312,38.11754517,-85.32686725,38.228209,-85.758344
194330,136032,122549455,39.84342664,-79.4066489,40.781545,-73.94959,179766,1748495,36.15999382,-86.7934281,36.135066,-86.795582
184566,153826,2816748,39.39710041,-84.3612549,39.128925,-84.516085,152712,1634705,40.01221111,-82.94189513,39.996105,-83.013226
187106,136032,52730311,40.61095184,-74.36924878,40.781545,-73.94959,205524,1594065,36.92433097,-76.31790459,36.872797,-76.311095
149505,136032,17635811,40.72919385,-73.9300342,40.781545,-73.94959,39244,1537071,41.49395624,-72.87122831,41.310343,-72.932254
179432,184114,1837456,29.50107192,-98.49458824,29.436877,-98.519092,197639,1521770,30.33551305,-97.75880527,30.369957,-97.698192
202938,136032,186778150,37.31411376,-82.17040142,40.781545,-73.94959,182134,1491461,35.211544,-89.75865144,35.061888,-89.928766
126271,40333,4020942,38.92238658,-77.11687805,38.929186,-77.039296,90225,1456764,39.31668153,-76.62028948,39.311695,-76.642179
188277,30322,11410222,37.86898891,-121.850608,37.339847,-121.835968,12518,1456581,36.61279128,-119.625955,36.746716,-119.747729
191010,84608,2185153,30.16646023,-90.46970307,29.927681,-90.07095,43349,1437321,30.51697625,-87.85691878,30.413172,-87.303784
103206,186293,2484702,32.89287549,-96.79109352,32.809842,-96.778457,197010,1415225,32.74878493,-97.21218666,32.722021,-97.054343
189712,60041,12965061,42.09114201,-87.91088471,41.997296,-87.65714,98150,1412764,42.79379288,-85.74396646,42.950064,-85.644016
5109,136032,2519993,40.80325282,-73.93933007,40.781545,-73.94959,132692,1380701,40.66723667,-73.95693685,40.645864,-73.961915
76673,30322,2975674,37.49913391,-122.1508059,37.339847,-121.835968,10472,1377174,37.74229581,-122.1721803,37.784163,-122.230023
219317,136032,310397881,37.30377781,-91.3638605,40.781545,-73.94959,57850,1360301,21.11528862,-157.4883943,21.290072,-157.821291
76161,30322,1590303,37.34119748,-121.9394018,37.339847,-121.835968,28196,1354451,37.68876341,-122.4047594,37.784372,-122.412886
188027,49885,14945876,27.30212775,-81.23375612,27.783201,-82.632914,42956,1309414,30.26254707,-81.61232312,30.256345,-81.777572
192263,136032,112279412,39.90289127,-79.2052681,40.781545,-73.94959,1295,1264792,33.60361496,-86.58407999,33.497751,-86.883783
209160,136032,217922600,37.42556694,-83.38416025,40.781545,-73.94959,192496,1259573,26.18258708,-98.00623856,26.231393,-98.252427
81828,15244,10715645,33.97532804,-118.1818171,34.066842,-118.301495,25298,1245172,34.09047955,-117.5362552,34.065804,-117.702911
163399,60041,9032117,41.89198916,-87.85163294,41.997296,-87.65714,215545,1235340,43.04000091,-88.00407454,43.049693,-87.892319
39665,15244,6738679,34.02048331,-118.2680729,34.066842,-118.301495,22226,1197459,33.78718182,-117.9354426,33.735989,-117.879436
207398,136032,212974763,37.42019955,-83.21726843,40.781545,-73.94959,115920,1170856,41.1280091,-96.2221821,41.258042,-95.970613
88753,46841,2708565,25.8338371,-80.27854374,25.768037,-80.212837,41798,1117413,26.2180418,-80.19257772,26.15319,-80.206433
178327,148591,1410341,35.82546769,-78.73247647,35.786011,-78.680179,145503,1109468,36.059896,-79.98234356,36.070177,-79.810184
192470,133797,1833821,43.11394169,-76.78956133,43.177652,-77.568268,130357,1092814,42.94249129,-78.80766765,42.945486,-78.810235
214961,136032,292646177,37.44103999,-91.07530897,40.781545,-73.94959,126371,1072535,35.21161748,-106.513605,35.063419,-106.502868
185518,148591,5747571,35.60306462,-79.97316871,35.786011,-78.680179,176589,1053943,34.83171492,-82.33339848,34.86094,-82.348596
187105,136032,51685763,40.67385939,-74.30625445,40.781545,-73.94959,205823,1044548,37.49819419,-77.48630017,37.547135,-77.450828
203970,136032,194466559,37.26939978,-82.54090622,40.781545,-73.94959,9542,1031171,34.80032491,-92.44184024,34.739313,-92.321319
191639,136032,110261057,39.93982279,-79.13931732,40.781545,-73.94959,180800,1030463,35.95792841,-83.93030959,36.000455,-83.937753
170142,136032,28680345,40.67634223,-74.14020623,40.781545,-73.94959,169554,1025479,40.12656755,-76.62857133,40.035906,-76.312158
214962,136032,293718712,37.43289909,-91.13168302,40.781545,-73.94959,188989,1013227,31.87557806,-106.4438966,31.787069,-106.280473
36755,15244,4789853,34.00615254,-118.2405598,34.066842,-118.301495,14357,1010484,34.21101375,-118.4578452,34.203203,-118.445177
159937,94743,3541650,42.40343329,-71.13716596,42.336346,-71.081034,174688,1005737,41.81389068,-71.38742202,41.798319,-71.42055
203099,160482,1340145,35.4718696,-97.4713931,35.477323,-97.540796,161936,984819,36.08021845,-95.80659348,36.116829,-95.829168
168838,30322,6803639,37.65230848,-122.1175419,37.339847,-121.835968,28870,976269,37.81506375,-121.132155,38.018244,-121.308641
193785,5388,4113080,33.46112194,-112.0035481,33.47851,-112.172982,7523,967516,32.22378329,-110.9421091,32.281281,-110.969885
195133,136032,126085933,39.76223473,-79.5632288,40.781545,-73.94959,176948,940740,34.25794356,-78.00569722,33.59745,-79.046472
178904,49885,13723069,27.3279417,-81.18634185,27.783201,-82.632914,45084,863797,26.45566831,-81.81341757,26.563291,-81.87928
191585,133797,963811,43.1209377,-77.54682979,43.177652,-77.568268,136962,862678,43.10461966,-75.95011703,43.062737,-76.14632
186615,136032,50699641,40.63616238,-74.31405925,40.781545,-73.94959,127714,817965,42.82163553,-73.78763401,42.663943,-73.775812
214118,15244,54895554,37.15442672,-118.9076491,34.066842,-118.301495,210446,792736,47.54583445,-117.197111,47.696823,-117.399187
202935,136032,162240884,38.27832407,-80.25498055,40.781545,-73.94959,45568,787191,30.86743875,-83.9791845,30.443281,-84.296214
185742,84608,1142379,30.03805569,-90.10412944,29.927681,-90.07095,82924,765669,30.43943402,-90.98398527,30.490622,-91.133219
116004,46841,4304029,25.94090821,-80.26322519,25.768037,-80.212837,48794,756723,26.61310402,-80.10442403,26.643449,-80.141251
158793,151428,1780905,41.46101819,-81.6971174,41.483619,-81.593708,157988,731515,41.00284385,-81.46711709,41.042918,-81.496003
149235,39244,814175,41.29349445,-73.01928344,41.310343,-72.932254,38174,720120,41.72071929,-72.70422429,41.739195,-72.678204
33896,136032,9028464,40.73484367,-73.92710337,40.781545,-73.94959,121759,720010,40.73484221,-74.19848778,40.770297,-74.187089
216228,136032,299064973,37.41600249,-91.33616998,40.781545,-73.94959,58555,696974,43.63896367,-116.4427977,43.603813,-116.23465
207397,136032,212285110,37.41929742,-83.17136895,40.781545,-73.94959,78266,689653,37.69789046,-97.34578917,37.654824,-97.323814
187543,15244,20933143,33.8373879,-117.8790644,34.066842,-118.301495,13313,679942,35.41116767,-119.0711247,35.379254,-118.969655
207259,136032,211312741,37.40534583,-83.12774737,40.781545,-73.94959,75654,676265,41.68115545,-93.64655792,41.602176,-93.665335
191632,148591,15656084,34.8106273,-82.0730987,35.786011,-78.680179,177706,675865,34.03690361,-81.05545223,33.99971,-81.02153
89384,5388,1335616,33.54157963,-112.1140257,33.47851,-112.172982,6111,674294,33.37647747,-111.8494787,33.398445,-111.862299
186239,54681,5620249,33.86194917,-84.31826847,33.778138,-84.38445,180300,672692,35.00823734,-85.11307957,35.028626,-85.272175
131819,26637,2128741,32.76938112,-117.0874803,32.715551,-117.164636,27871,671907,33.15395705,-117.224326,33.208354,-117.243276
2342,136032,1018152,40.76350263,-73.97205733,40.781545,-73.94959,136516,668952,40.84580148,-73.92124359,40.856735,-73.929225
192702,136032,117549943,39.87181013,-79.29722739,40.781545,-73.94959,215668,658222,44.2753951,-88.30471946,44.269108,-88.410818
138785,136032,16424424,40.75622842,-73.91709416,40.781545,-73.94959,124745,642723,40.12385565,-74.13080029,40.096446,-74.212601
159330,153826,1599108,39.19646565,-84.47442827,39.128925,-84.516085,156527,640515,39.73472221,-84.17630675,39.743122,-84.156442
166950,49885,3072904,28.01903968,-82.44958529,27.783201,-82.632914,45762,633956,27.33522112,-82.49353396,27.46917,-82.552376
198536,136032,132912895,39.66922062,-79.68695017,40.781545,-73.94959,175751,614062,32.90577721,-80.03463187,33.008973,-80.063428
130083,49885,829528,27.8876943,-82.72603864,27.783201,-82.632914,44204,603377,28.01028005,-82.4868743,28.061607,-82.430585
5110,136032,3900694,40.75510815,-73.94556222,40.781545,-73.94959,138650,599042,40.74717479,-73.8850038,40.746679,-73.871087
183242,34616,3207951,39.84911924,-104.9759879,39.694929,-105.020282,35430,594503,38.8722926,-104.7687086,38.906846,-104.771064
197960,15244,35630149,35.35542377,-119.3256261,34.066842,-118.301495,118727,589501,39.40657838,-119.8094418,39.541174,-119.784601
198827,136032,134195453,39.63236726,-79.70444748,40.781545,-73.94959,52848,588805,32.11357741,-81.1078609,32.06146,-81.095059
196520,136032,129088183,39.69881596,-79.58900588,40.781545,-73.94959,211405,569975,38.45368385,-82.23115554,38.411866,-82.439447
190688,80461,1241245,38.17401921,-85.6973733,38.228209,-85.758344,79703,568067,37.99414752,-84.51729939,38.03031,-84.502213
164383,136032,26779172,40.66189094,-74.09848915,40.781545,-73.94959,170026,557003,40.62691613,-75.40513264,40.615696,-75.473016
207299,207675,7797443,46.63101287,-122.5526266,47.619879,-122.324197,206572,556418,46.3731774,-119.8174543,46.215596,-119.185769
205296,136032,201639226,37.25538937,-82.82735052,40.781545,-73.94959,109372,548016,32.31801143,-90.21938097,32.409879,-90.127837
219332,136032,311761066,37.23322897,-91.65251828,40.781545,-73.94959,3582,540130,61.85931164,-149.4305867,61.193127,-149.939098
162574,136032,26081020,40.6323654,-74.12791512,40.781545,-73.94959,92176,524307,42.12591266,-72.59194981,42.093001,-72.56013
192264,136032,113544204,39.83272235,-79.28746219,40.781545,-73.94959,2049,519770,34.7283652,-86.73134255,34.701414,-86.624047
177964,102693,4732021,42.49040131,-83.28650641,42.420664,-83.157255,155462,518691,41.652947,-83.60683872,41.694297,-83.578438
187583,43349,564054,30.47396164,-87.03328232,30.413172,-87.303784,2353,516850,30.62902232,-88.07301734,30.681908,-88.08486
173675,49885,6566090,28.17101489,-82.06164412,27.783201,-82.632914,41088,516713,28.23619408,-80.69428604,28.067995,-80.626981
203969,136032,193964501,37.26990997,-82.51302379,40.781545,-73.94959,111242,502058,37.07229371,-93.31297337,37.202321,-93.281898
207648,136032,214598035,37.43561326,-83.29937184,40.781545,-73.94959,194838,499711,27.76359398,-97.49100232,27.739131,-97.413177
193371,84608,3687711,30.30953186,-89.42772406,29.927681,-90.07095,83757,493255,30.19736271,-92.0213984,30.222019,-92.003911
174683,46841,5531321,26.08441422,-80.23708829,25.768037,-80.212837,51022,489048,27.34434785,-80.3318484,27.309364,-80.341438
69726,25298,622234,34.07652866,-117.6638687,34.065804,-117.702911,25623,488285,34.11153082,-117.3540566,34.10026,-117.44656
193214,136032,119496128,39.87056475,-79.36840292,40.781545,-73.94959,182838,481670,36.43184564,-82.40540091,36.320225,-82.361367
187241,60041,12274653,42.10197831,-87.98830022,41.997296,-87.65714,72999,480141,41.68635387,-86.10166927,41.66267,-86.205743
192720,136032,118318732,39.89946247,-79.35500639,40.781545,-73.94959,56804,472340,33.48103072,-82.00536013,33.471216,-82.008759
197122,136032,130434339,39.69103731,-79.61066188,40.781545,-73.94959,67225,468284,40.62967856,-89.38562298,40.710481,-89.586192
105055,15244,13168300,33.98559963,-118.0722875,34.066842,-118.301495,21970,463532,33.57923101,-117.6744798,33.578711,-117.733027
164058,28870,513547,37.97104907,-121.2878097,38.018244,-121.308641,32270,454193,37.63796062,-120.9569472,37.680202,-120.93715
178531,60041,10840361,42.0476723,-87.88885663,41.997296,-87.65714,69018,453855,42.39439889,-89.02123628,42.28385,-89.085835
195006,15244,35024196,35.35325985,-119.3082687,34.066842,-118.301495,29943,447318,35.11787521,-120.5664181,34.947927,-120.449958
37815,136032,9908426,40.73499602,-73.94772364,40.781545,-73.94959,125265,446075,40.88752303,-74.12866344,40.914512,-74.156423
186574,60041,11798578,42.06431587,-87.93371169,41.997296,-87.65714,213389,441828,43.07684999,-89.38809255,43.076584,-89.395158
101607,163733,672731,45.51662733,-122.581695,45.517476,-122.631465,164423,433986,45.48593797,-122.8398758,45.479292,-122.798929
97326,15244,12483590,33.98754106,-118.1033206,34.066842,-118.301495,23343,430313,33.91776777,-117.4775645,33.928188,-117.426523
203965,160482,2398010,35.7488504,-96.74672478,35.477323,-97.540796,10149,429782,36.22577269,-94.21168876,36.193099,-94.151812
194762,136032,124755691,39.78731765,-79.51836707,40.781545,-73.94959,56434,421941,32.54548321,-85.09240131,32.493567,-84.972052
180440,151428,3018964,41.30503413,-81.61435354,41.483619,-81.593708,155922,421063,41.143199,-80.67482404,41.066022,-80.668688
168969,49885,5984173,28.10905052,-82.06807799,27.783201,-82.632914,51669,418349,29.00291471,-81.99417656,28.949348,-81.975416
103204,197010,934193,32.6959274,-97.20078812,32.722021,-97.054343,196870,417984,32.85991733,-97.21447125,32.874311,-97.285135
193521,136032,120710578,39.85641408,-79.39812567,40.781545,-73.94959,205959,417447,37.22851244,-80.13482722,37.268092,-79.980452
170138,169554,604664,40.03953763,-76.47926679,40.035906,-76.312158,168067,416010,40.25363335,-76.84621838,40.264573,-76.870327
200534,136032,138206006,39.58609569,-79.80912347,40.781545,-73.94959,73480,415458,37.94131189,-87.43045729,37.959229,-87.5407
153089,199870,1466175,40.58383268,-111.8736977,40.661939,-112.019386,199070,415381,41.14653229,-111.9883628,41.143774,-112.031032
190446,136032,90341398,40.87810017,-78.49146322,40.781545,-73.94959,85878,414074,43.75967687,-70.27658169,43.649521,-70.270121
196481,191242,17288580,31.01759097,-96.63546233,29.715277,-95.491289,195740,413001,32.38325554,-95.06301007,32.336418,-95.307173
181621,136032,48742049,40.6338989,-74.25935218,40.781545,-73.94959,169344,411486,41.34912301,-75.77957034,41.405117,-75.653577
151108,15244,15541533,33.98736467,-118.0818194,34.066842,-118.301495,24242,411208,33.5974908,-117.1908167,33.550105,-117.16359
177334,15244,20174566,33.82956686,-117.8904685,34.066842,-118.301495,24150,393319,33.76887132,-116.3554961,33.669155,-116.188533
103202,197010,542668,32.69387312,-97.09348487,32.722021,-97.054343,196391,388559,32.69839422,-97.35084895,32.627524,-97.340809
171904,102693,4153652,42.44966807,-83.23629333,42.420664,-83.157255,96762,385799,42.9918315,-83.68898423,43.033504,-83.731569
191519,136032,93502384,40.8362459,-78.60775956,40.781545,-73.94959,69236,384913,41.1181265,-85.1285135,41.055801,-85.154436
212978,136032,225894732,37.35625744,-83.64421818,40.781545,-73.94959,178715,380984,43.12093716,-96.55205735,43.541357,-96.689787
185564,148591,6870729,35.48254142,-80.34926398,35.786011,-78.680179,143540,378407,35.5127861,-82.58250981,35.613616,-82.563347
76935,102693,482520,42.38638387,-83.17268484,42.420664,-83.157255,102091,377869,42.44118589,-82.97521666,42.425732,-82.938153
202934,45568,410118,30.51645372,-84.25950288,30.443281,-84.296214,56228,377073,31.24918254,-83.67430027,30.844529,-83.272285
58794,118004,480225,36.15718241,-115.0887342,36.205145,-115.108802,117405,376562,36.1515538,-115.2417788,36.139017,-115.20659
189711,98150,1037941,42.97726936,-85.82784283,42.950064,-85.644016,97866,374823,42.28571903,-85.51170024,42.287461,-85.592889
199168,136032,135256586,39.59278901,-79.72300327,40.781545,-73.94959,67559,373692,41.56217232,-90.48517744,41.49824,-90.592255
184219,148591,5239825,35.6435851,-80.05952196,35.786011,-78.680179,144490,371848,35.06915865,-78.9738523,35.011875,-78.996962
168841,30322,9735802,37.85366958,-121.8724332,37.339847,-121.835968,32013,369890,38.401416,-122.7096127,38.457219,-122.742869
199340,191242,18299730,31.06241206,-96.563404,29.715277,-95.491289,82512,364730,32.47836131,-93.75563779,32.489405,-93.733617
191070,191242,5830901,29.78264688,-95.42067088,29.715277,-95.491289,193096,364511,30.0728127,-94.03383321,30.114801,-94.126838
214964,136032,295059176,37.40777492,-91.19650851,40.781545,-73.94959,193819,363107,33.60649775,-101.91789,33.579083,-101.876684
137537,207675,2194600,47.61120069,-122.2548475,47.619879,-122.324197,209307,359562,47.19795884,-122.4764917,47.252979,-122.447035
150135,205524,979578,36.83030375,-76.20848107,36.872797,-76.311095,205347,358913,37.07541479,-76.43829027,37.031303,-76.454332
192946,136032,118986867,39.87601797,-79.36935006,40.781545,-73.94959,204794,358215,38.17320518,-78.70890864,38.038136,-78.49969
97277,40333,2718505,38.92559795,-77.08154405,38.929186,-77.039296,202469,357569,38.92900026,-77.39472885,38.948885,-77.399966
205381,136032,202313428,37.24044989,-82.85051963,40.781545,-73.94959,200709,355937,44.4929749,-73.09432163,44.487977,-73.212978
15700,15244,876792,34.04133001,-118.2917356,34.066842,-118.301495,18098,353686,33.96377371,-118.2083932,33.993859,-118.193601
149196,199870,1108823,40.66633767,-111.9193496,40.661939,-112.019386,200190,353094,40.32395194,-111.7278724,40.24,-111.653339
191631,148591,15304238,34.85865938,-82.03611281,35.786011,-78.680179,52286,351846,32.72137659,-83.68187299,32.827896,-83.648884
186189,102693,5529179,42.39857927,-83.33146329,42.420664,-83.157255,97462,348994,42.71870289,-84.53570259,42.732581,-84.492436
122368,171995,3361904,40.00680755,-75.10272159,39.916569,-75.159038,39933,342231,39.70590682,-75.62919889,39.639942,-75.691129
187597,184114,3592479,29.86732088,-98.16334133,29.436877,-98.519092,183521,341555,31.0958063,-97.6526423,31.105509,-97.759233
147409,15244,15171152,33.98198389,-118.0563404,34.066842,-118.301495,33331,340900,34.21743003,-119.1954585,34.170416,-119.189256
82209,102693,1051371,42.42168974,-83.08383492,42.420664,-83.157255,103578,339055,42.28282253,-83.25396197,42.24592,-83.177383
202186,136032,161148649,38.27045169,-80.22053272,40.781545,-73.94959,75218,335219,41.8822472,-91.6145724,41.979683,-91.649422
164658,15244,19260225,33.80676439,-117.8989459,34.066842,-118.301495,19948,333450,34.63213887,-118.1317225,34.678746,-118.082527
141000,60041,7547181,41.84909572,-87.84581435,41.997296,-87.65714,65833,330012,42.375412,-87.94335476,42.37162,-87.842656
197264,136032,131083495,39.69189997,-79.64840964,40.781545,-73.94959,2618,328342,32.40721338,-86.2823299,32.36998,-86.276842
214963,136032,294731939,37.41379418,-91.18432322,40.781545,-73.94959,188393,327237,31.98641583,-102.171412,31.872003,-102.372162
179451,12518,930594,36.76971529,-119.7433012,36.746716,-119.747729,32718,326583,36.23577684,-119.2264523,36.301759,-119.31893
134167,30322,4886510,37.58429997,-122.1427216,37.339847,-121.835968,11863,322511,37.94469937,-122.0455678,37.969906,-122.039156
65206,28196,996164,37.74227601,-122.4423019,37.784372,-122.412886,29469,321337,37.53778407,-122.2976241,37.569581,-122.329684
187678,43349,1083469,30.54780618,-87.53125898,30.413172,-87.303784,108503,316431,30.4110684,-88.94415407,30.399159,-88.978836
195244,207675,7217400,46.74334426,-122.5091959,47.619879,-122.324197,163221,316070,44.04993522,-123.0890679,44.042128,-123.084172
195132,176948,624679,33.97350606,-78.41541845,33.59745,-79.046472,147427,316061,34.82012029,-77.19590338,34.777238,-77.421945
154124,148591,716730,35.80994434,-78.68368174,35.786011,-78.680179,144798,313385,35.97142405,-78.94700064,35.986964,-78.877558
90290,191242,2342521,29.74299816,-95.43427203,29.715277,-95.491289,191963,310481,29.90262208,-95.63186743,29.86087,-95.652434
2128,136032,590169,40.74852272,-73.97349655,40.781545,-73.94959,136103,309499,40.7878553,-73.97165979,40.782963,-73.972877
115351,136032,14309539,40.7387256,-73.94219836,40.781545,-73.94959,141493,308221,40.83517023,-73.07007104,40.873871,-73.047045
32820,15244,4091945,34.00107908,-118.2660789,34.066842,-118.301495,17311,308015,34.05957309,-117.9844433,34.058685,-118.035405
165413,15244,19677726,33.82127602,-117.9033292,34.066842,-118.301495,26120,306343,34.478839,-117.309809,34.515904,-117.342373
83677,151428,375784,41.50342549,-81.57725452,41.483619,-81.593708,151119,306087,41.45487773,-81.74479735,41.473943,-81.756553
215837,136032,297550721,37.40695428,-91.25944006,40.781545,-73.94959,58858,305800,43.34589376,-112.1467162,43.504497,-112.018916
162702,145503,449506,36.03868146,-79.89262029,36.070177,-79.810184,144977,300827,36.09748095,-80.25646781,36.117446,-80.224301
172365,30322,10259662,37.87962968,-121.8983639,37.339847,-121.835968,20819,294669,36.66777733,-121.7288842,36.69049,-121.612817
159938,94743,4547387,42.27304526,-71.19251462,42.336346,-71.081034,95409,293627,42.26735935,-71.78090175,42.262702,-71.81113
61881,191242,927027,29.70751979,-95.5234254,29.715277,-95.491289,190635,292943,29.68900649,-95.24656971,29.701406,-95.287246
186190,102693,5878173,42.41758538,-83.40296038,42.420664,-83.157255,101254,291494,43.52359766,-84.0190749,43.412949,-83.976685
82428,34616,969596,39.70079509,-104.9200624,39.694929,-105.020282,33688,289504,39.86502722,-105.0032334,39.834744,-105.012301
41023,46841,716238,25.81285444,-80.25856349,25.768037,-80.212837,46279,288651,25.92567274,-80.16852597,25.947161,-80.138803
30267,22226,526603,33.74733672,-117.9069267,33.735989,-117.879436,22439,288206,33.82919822,-117.9493733,33.85166,-117.929563
159167,219631,2617050,18.35142911,-66.22986868,18.449196,-66.040989,219594,285351,18.09959458,-67.03549546,18.078806,-67.025458
214965,136032,295422283,37.40310272,-91.20968629,40.781545,-73.94959,195382,282498,35.18917747,-101.8651863,35.159761,-101.879782
212402,207675,9023486,46.51024119,-122.3249228,47.619879,-122.324197,162761,281201,42.360297,-123.015127,42.327209,-122.881026
135092,114550,1226323,38.64538365,-90.34109788,38.576267,-90.236495,113125,279481,38.77080682,-90.61995685,38.766949,-90.512078
39655,15244,6437285,34.03131469,-118.2716794,34.066842,-118.301495,19141,279038,33.78678134,-118.1779394,33.78076,-118.165964
114966,26637,1764875,32.7317235,-117.0810023,32.715551,-117.164636,26849,277783,32.95770804,-117.1028334,32.915734,-117.139221
176745,34616,2748397,39.75423801,-104.9779994,39.694929,-105.020282,36169,277100,40.50122085,-105.0674115,40.575557,-105.090685
193376,115920,771468,41.232688,-96.0294844,41.258042,-95.970613,116500,275033,40.80262013,-96.67172215,40.8316,-96.682306
204518,136032,199390059,37.26606681,-82.77138971,40.781545,-73.94959,110339,274665,38.82107139,-92.2577468,38.948293,-92.323989
132410,39244,292654,41.30939802,-72.92563392,41.310343,-72.932254,37381,273951,41.19367191,-73.18708957,41.180801,-73.207891
134169,30322,5218798,37.60707074,-122.1367107,37.339847,-121.835968,11690,272461,37.98590419,-121.8073255,37.995489,-121.825999
214924,136032,229183970,37.381667,-83.76697946,40.781545,-73.94959,149422,270077,46.77780815,-96.53854553,46.886672,-96.791654
2099,136516,292138,40.84006987,-73.93844283,40.856735,-73.929225,128586,270004,40.84478734,-73.91146752,40.861137,-73.908248
22282,15244,2105675,34.01178463,-118.2646414,34.066842,-118.301495,19282,269621,33.92726214,-118.3506634,33.935331,-118.345581
85663,25088,780624,38.52765106,-121.4412491,38.461221,-121.386811,24767,269381,38.69062194,-121.3219893,38.718201,-121.369101
159347,45084,493142,26.5877969,-81.86734782,26.563291,-81.87928,42592,269302,26.2124527,-81.75380001,26.191136,-81.711863
174140,49885,7096255,28.17578884,-81.9618133,27.783201,-82.632914,51786,268119,29.15581627,-81.01579498,29.228095,-81.06617
168261,136032,28144214,40.66341902,-74.14101816,40.781545,-73.94959,137418,266514,41.59613478,-73.94397243,41.495463,-74.015165
