a,b,c,d,e,f,g,h,i,j,k,l,m
123671,188049,68437,33.21891999,-97.12971649,33.208372,-97.149053,188084,32475,33.15001572,-97.090663,33.148367,-97.099572
80011,197010,134083,32.71329327,-97.09388395,32.722021,-97.054343,196629,32473,32.77579605,-97.08079451,32.781761,-97.065124
117975,136032,15040219,40.74442089,-73.91234684,40.781545,-73.94959,140296,32451,41.04997057,-74.02148478,41.055849,-74.01459
198715,15244,36261757,35.42166754,-119.3335672,34.066842,-118.301495,26072,32443,34.88721568,-117.0344723,34.898582,-117.015156
162641,169554,251291,40.055082,-76.33544127,40.035906,-76.312158,169700,32439,40.17083867,-76.19195745,40.179448,-76.17042
21753,136032,8204106,40.73951129,-73.92225859,40.781545,-73.94959,120632,32430,40.84526803,-73.98698781,40.853252,-73.997186
165092,219631,3450835,18.28537932,-66.32421845,18.449196,-66.040989,219055,32430,18.32141949,-66.86531889,18.295034,-66.874476
103687,80461,308189,38.21713633,-85.72200416,38.228209,-85.758344,80873,32394,38.1509742,-85.85576065,38.139606,-85.865614
206139,136032,204171750,37.23996799,-82.8630499,40.781545,-73.94959,8373,32381,36.24298492,-93.10453036,36.238485,-93.122689
53692,136032,11556707,40.74171379,-73.94306159,40.781545,-73.94959,135332,32315,40.70572127,-73.47477612,40.701107,-73.47272
69787,188600,42339,31.91806125,-106.4231618,31.908297,-106.415717,188621,32294,31.87082985,-106.4206331,31.873055,-106.410507
108988,63611,93652,41.50362417,-87.6672862,41.500794,-87.662891,63630,32271,41.56015352,-87.70406047,41.551744,-87.718355
104607,60041,5751527,41.8642535,-87.80481993,41.997296,-87.65714,71345,32243,41.54513224,-87.43868149,41.534147,-87.418098
44057,163733,32953,45.51340716,-122.6351218,45.517476,-122.631465,163801,32236,45.54656592,-122.6491183,45.532824,-122.643517
95029,208515,86236,47.31753679,-122.3353302,47.302995,-122.366804,208356,32225,47.3907962,-122.2989576,47.397061,-122.29767
128243,176589,77635,34.8534839,-82.39794543,34.86094,-82.348596,176676,32225,34.88904336,-82.30340119,34.870749,-82.295858
99172,205524,575642,36.84446337,-76.21312751,36.872797,-76.311095,204926,32197,36.7941476,-76.3558241,36.775754,-76.33119
86017,199870,738355,40.66574113,-111.9190876,40.661939,-112.019386,199317,32156,40.78760004,-111.93337,40.786836,-111.938726
206971,206572,523437,46.33449791,-119.7727643,46.215596,-119.185769,208998,32123,47.00344676,-120.5249741,47.014378,-120.533395
