1 45325 4341996.0 55.625 37.625 55.625 37.625 45326 2055991.0 55.625 37.875 55.625 37.875
2 44703 3818785.0 55.875 37.625 55.875 37.625 44702 1844018.0 55.875 37.375 55.875 37.375
3 45325 6397987.0 55.625 37.705337417065714 55.625 37.625 45324 1376012.0 55.625 37.375 55.625 37.375
4 44703 5662803.0 55.875 37.543590757969156 55.875 37.625 44704 1359673.0 55.875 37.875 55.875 37.875
5 118570 8938126.0 28.625 77.125 28.625 77.125 118571 8238541.0 28.625 77.375 28.625 77.375
6 91332 1.131178E7 39.875 116.375 39.875 116.375 91331 2789655.0 39.875 116.125 39.875 116.125
7 114752 7984665.0 30.125 31.375 30.125 31.375 114751 7572219.0 30.125 31.125 30.125 31.125
8 91332 1.4101435E7 39.875 116.32554306529796 39.875 116.375 91333 2425700.0 39.875 116.625 39.875 116.625
9 64777 5690732.0 48.875 2.375 48.875 2.375 64776 1730015.0 48.875 2.125 48.875 2.125
10 34933 2397712.0 59.875 30.375 59.875 30.375 34932 778927.0 59.875 30.125 59.875 30.125
11 101639 8057306.0 35.625 139.625 35.625 139.625 101640 3635684.0 35.625 139.875 35.625 139.875
12 112517 9109435.0 31.125 121.375 31.125 121.375 112518 4298451.0 31.125 121.625 31.125 121.625
13 87817 7203217.0 41.125 28.875 41.125 28.875 87818 2458249.0 41.125 29.125 41.125 29.125
14 96815 4791638.0 37.625 127.125 37.625 127.125 96814 4564979.0 37.625 126.875 37.625 126.875
15 101639 1.169299E7 35.625 139.70273212839487 35.625 139.625 101638 3044729.0 35.625 139.375 35.625 139.375
16 64777 7420747.0 48.875 2.3167169524847027 48.875 2.375 64778 1179512.0 48.875 2.625 48.875 2.625
17 129247 1.057482E7 23.875 90.375 23.875 90.375 129758 7985457.0 23.625 90.375 23.625 90.375
18 56276 2900632.0 51.625 -0.125 51.625 -0.125 56275 1515729.0 51.625 -0.375 51.625 -0.375
19 97421 4786539.0 37.375 126.875 37.375 126.875 97422 3960810.0 37.375 127.125 37.375 127.125
20 56276 4416361.0 51.625 -0.2108019192724508 51.625 -0.125 56277 1337582.0 51.625 0.125 51.625 0.125
21 112517 1.3407886E7 31.125 121.45514781375677 31.125 121.375 111862 6899021.0 31.375 121.375 31.375 121.375
22 112517 2.0306907E7 31.209934414187252 121.42791858331749 31.125 121.375 111863 3347928.0 31.375 121.625 31.375 121.625
23 130876 6982930.0 23.125 113.375 23.125 113.375 130875 5706426.0 23.125 113.125 23.125 113.125
24 131911 7165614.0 22.625 114.125 22.625 114.125 131910 5143871.0 22.625 113.875 22.625 113.875
25 34933 3176639.0 59.875 30.313698810283448 59.875 30.375 34934 378322.0 59.875 30.625 59.875 30.625
26 87817 9661466.0 41.125 28.93860962715182 41.125 28.875 87816 1446606.0 41.125 28.625 41.125 28.625
27 138858 1.319164E7 19.125 72.875 19.125 72.875 138383 4332364.0 19.375 72.875 19.375 72.875
28 213525 4387214.0 -34.625 -58.375 -34.625 -58.375 213524 3872278.0 -34.625 -58.625 -34.625 -58.625
29 101067 4359832.0 35.875 139.625 35.875 139.625 101068 3383989.0 35.875 139.875 35.875 139.875
30 101639 1.4737719E7 35.625 139.63502453296877 35.625 139.625 101067 7743821.0 35.875 139.73424803788723 35.875 139.625
31 96815 9356617.0 37.625 127.0030280575768 37.625 127.125 97421 8747349.0 37.375 126.98820029645553 37.375 126.875
32 177700 7516311.0 -6.375 106.875 -6.375 106.875 177333 6559587.0 -6.125 106.875 -6.125 106.875
33 201534 7546847.0 -23.625 -46.625 -23.625 -46.625 201535 3699448.0 -23.625 -46.375 -23.625 -46.375
34 201534 1.1246295E7 -23.625 -46.542762961046286 -23.625 -46.625 201533 3626106.0 -23.625 -46.875 -23.625 -46.875
35 93173 5865996.0 39.125 117.125 39.125 117.125 93174 1772747.0 39.125 117.375 39.125 117.375
36 131911 1.2309485E7 22.625 114.02053033697186 22.625 114.125 132430 5997206.0 22.375 114.125 22.375 114.125
37 118570 1.7176667E7 28.625 77.24490890025405 28.625 77.125 118569 2325015.0 28.625 76.875 28.625 76.875
38 112517 2.3654835E7 31.2332965596674 121.45581200946867 31.125 121.375 112516 1855403.0 31.125 121.125 31.125 121.125
39 57018 2593607.0 51.375 -0.125 51.375 -0.125 57017 1087495.0 51.375 -0.375 51.375 -0.375
40 131808 1.107784E7 22.625 88.375 22.625 88.375 132327 4016099.0 22.375 88.375 22.375 88.375
41 177700 1.4075898E7 -6.258496118684577 106.875 -6.375 106.875 177332 5665438.0 -6.125 106.625 -6.125 106.625
42 177700 1.9741336E7 -6.220184933279085 106.80325412120031 -6.375 106.875 177699 3324333.0 -6.375 106.625 -6.375 106.625
43 129247 1.8560277E7 23.76743887631634 90.375 23.875 90.375 129248 2095716.0 23.875 90.625 23.875 90.625
44 91332 1.6527135E7 39.875 116.36949458420955 39.875 116.375 90707 3259865.0 40.125 116.375 40.125 116.375
45 138048 8176867.0 19.375 -99.125 19.375 -99.125 137572 5007407.0 19.625 -99.125 19.625 -99.125
46 138858 1.7524004E7 19.1868061374558 72.875 19.125 72.875 138859 2104520.0 19.125 73.125 19.125 73.125
47 118570 1.9501682E7 28.625 77.20080789698038 28.625 77.125 118572 2144971.0 28.625 77.625 28.625 77.625
48 146835 9243547.0 14.625 121.125 14.625 121.125 146834 3512618.0 14.625 120.875 14.625 120.875
49 57018 3681102.0 51.375 -0.19885661956664064 51.375 -0.125 57019 930161.0 51.375 0.125 51.375 0.125
