a,b,c,d,e,f,g,h,pop,j,k,l,m
90537,125509,7555962737,22.36661667,51.73542089,25.625,85.125,177012,11921684,-5.12137157,141.8068229,-5.875,144.875
90538,125509,7567884421,22.32331486,51.87731032,25.625,85.125,169351,1062443,-1.139806677,132.3306315,-0.875,131.375
91033,125509,7572151456,22.3209867,51.8842174,25.625,85.125,118833,2161134,28.29126017,-15.81031671,28.375,-16.375
91066,125509,7574774653,22.32311596,51.86143797,25.625,85.125,78103,1312439,45.35942156,-64.39741914,44.625,-63.625
91377,125509,7577411844,22.32758845,51.83427188,25.625,85.125,41688,1229707,56.5852385,65.54798613,57.125,65.625
91880,125509,7580658597,22.33360459,51.82867431,25.625,85.125,172562,3779742,-2.957252902,-58.92826296,-3.125,-59.875
92039,125509,7585208942,22.32043593,51.76720519,25.625,85.125,58808,2243604,50.65030237,72.22860262,50.875,71.125
94716,213112,13392691,-35.61023835,148.2940263,-33.875,151.125,206619,4381408,-27.52165811,153.0100977,-27.625,153.125
95008,125509,7601850764,22.32651657,51.70290501,25.625,85.125,50440,3544590,52.13445702,-113.7757966,53.625,-113.375
97354,125509,7615872893,22.3369035,51.58053645,25.625,85.125,196637,2138266,-20.59070434,56.68455456,-20.125,57.625
97666,125509,7619834495,22.32879142,51.58202172,25.625,85.125,47425,1493073,54.94758871,73.3176962,54.875,73.375
98871,214724,2481118,-37.08109902,175.0280236,-36.875,174.875,216170,1026631,-40.78237884,175.1302348,-41.125,174.875
99796,125509,7632279133,22.32962949,51.48111786,25.625,85.125,181227,1443700,-10.04535551,-62.86624004,-8.875,-63.875
100197,125509,7636127131,22.32287858,51.43950871,25.625,85.125,44290,1690584,56.06066439,92.80214115,56.125,92.875
101309,125509,7641908677,22.33390495,51.43645173,25.625,85.125,54492,1160358,52.43111372,104.0108245,52.375,104.375
106089,213112,18392613,-33.62354633,149.4189968,-33.875,151.125,213715,1613056,-34.90765851,138.6314999,-34.875,138.625
113127,125509,7677173627,22.34304859,51.29299041,25.625,85.125,213112,21097433,-33.87862564,148.4379185,-33.875,151.125
124891,125509,7719315989,22.18987471,51.45529289,25.625,85.125,211144,2290888,-32.12276528,115.8661634,-31.875,115.875
133933,125509,7731358647,22.18795906,51.44540495,25.625,85.125,214724,4695932,-39.42095499,174.3362382,-36.875,174.875
152227,125509,7749079655,22.15498482,51.50175223,25.625,85.125,134056,1487144,21.09410336,-157.4485083,21.375,-157.875
