a,b,c,d,e,f,g,h,pop,j,k,l,m
200,114752,31296787,30.21810568,31.25841813,30.125,31.375,113465,1432311,30.625,30.875,30.625,30.875
204,56276,5753943,51.625,-0.132740214,51.625,-0.125,57018,2593607,51.375,-0.125,51.375,-0.125
205,56276,8347550,51.5473243,-0.130335308,51.625,-0.125,57017,1087495,51.375,-0.375,51.375,-0.375
206,112811,2220891,30.875,31.125,30.875,31.125,112810,1628549,30.875,30.875,30.875,30.875
207,114752,32729098,30.23591244,31.24163875,30.125,31.375,112811,3849440,30.875,31.01923468,30.875,31.125
208,114752,36578538,30.30316853,31.21823346,30.125,31.375,112812,1473623,30.875,31.375,30.875,31.375
209,129247,32954164,23.81763969,90.43137995,23.875,90.375,128727,1387588,24.125,90.875,24.125,90.875
213,138048,19905568,19.4660355,-99.09961808,19.375,-99.125,138046,1540663,19.375,-99.625,19.375,-99.625
214,150682,2119117,11.875,8.375,11.875,8.375,150683,1653418,11.875,8.625,11.875,8.625
215,149524,2915077,12.625,-7.875,12.625,-7.875,149523,1194597,12.625,-8.125,12.625,-8.125
216,104603,2327441,34.125,-118.375,34.125,-118.375,104604,1492901,34.125,-118.125,34.125,-118.125
217,110566,2963926,31.875,117.375,31.875,117.375,110565,1168726,31.875,117.125,31.875,117.125
218,177333,38074091,-6.294398214,106.8341865,-6.125,106.875,177330,1329746,-6.125,106.125,-6.125,106.125
220,138858,22784561,19.16850594,72.91339095,19.125,72.875,138860,1038855,19.125,73.375,19.125,73.375
223,104509,3269915,34.375,108.875,34.375,108.875,104508,1039315,34.375,108.625,34.375,108.625
224,118570,33753266,28.62733577,77.23356904,28.625,77.125,118573,1073502,28.625,77.875,28.625,77.875
226,87817,11108072,41.125,28.8977682,41.125,28.875,88463,1771010,40.875,29.125,40.875,29.125
228,99282,1883894,36.625,117.125,36.625,117.125,99281,1773725,36.625,116.875,36.625,116.875
231,131911,60011706,22.83951334,113.6629872,22.625,114.125,130880,1981352,23.125,114.375,23.125,114.375
235,119905,2209233,28.125,112.875,28.125,112.875,119906,1478942,28.125,113.125,28.125,113.125
237,95552,1959994,38.125,114.375,38.125,114.375,95553,1662626,38.125,114.625,38.125,114.625
239,125509,4700365,25.625,85.22590823,25.625,85.125,125508,1105106,25.625,84.875,25.625,84.875
240,162746,2168153,3.875,11.625,3.875,11.625,162745,1485836,3.875,11.375,3.875,11.375
241,87817,12879082,41.09062236,28.92901497,41.125,28.875,88464,1367839,40.875,29.375,40.875,29.375
243,113758,9097375,30.625,104.0788821,30.625,104.125,113102,1232530,30.875,104.125,30.875,104.125
244,113758,10329905,30.65482917,104.0843847,30.625,104.125,113101,1275670,30.875,103.875,30.875,103.875
247,135066,5643250,21.125,105.8548166,21.125,105.875,135576,2271856,20.875,105.875,20.875,105.875
248,89703,2180723,40.375,-3.625,40.375,-3.625,89702,1428403,40.375,-3.875,40.375,-3.875
250,105172,2087668,33.875,-118.125,33.875,-118.125,105171,1473381,33.875,-118.375,33.875,-118.375
251,104603,3820342,34.125,-118.2773058,34.125,-118.375,105172,3561049,33.875,-118.2284373,33.875,-118.125
252,104603,7381391,34.00439099,-118.2537299,34.125,-118.375,105173,1368892,33.875,-117.875,33.875,-117.875
253,98901,2630817,36.625,3.125,36.625,3.125,98900,1165813,36.625,2.875,36.625,2.875
255,122647,2164845,26.875,75.625,26.875,75.625,122648,1411462,26.875,75.875,26.875,75.875
256,129247,34341752,23.83005867,90.44930454,23.875,90.375,129250,1381923,23.875,91.125,23.875,91.125
257,114752,38768333,30.32623136,31.23170656,30.125,31.375,112813,1105217,30.875,31.625,30.875,31.625
258,139830,4854644,18.625,73.9178019,18.625,73.875,140339,1993104,18.375,73.875,18.375,73.875
259,149921,2389016,12.375,-1.625,12.375,-1.625,149922,1261147,12.375,-1.375,12.375,-1.375
262,201534,20279289,-23.5583447,-46.61253244,-23.625,-46.625,201868,1181580,-23.875,-46.375,-23.875,-46.375
263,101381,6532177,35.625,51.39281451,35.625,51.375,101383,1226100,35.625,51.875,35.625,51.875
264,138858,24547821,19.15800344,72.93917065,19.125,72.875,138385,1070185,19.375,73.375,19.375,73.375
266,129247,35723675,23.83179717,90.47544292,23.875,90.375,129761,1187483,23.625,91.125,23.625,91.125
267,104509,5292463,34.375,108.8723509,34.375,108.875,105079,2053874,34.125,108.875,34.125,108.875
269,212692,2506818,-33.625,-70.625,-33.625,-70.625,212691,1146920,-33.625,-70.875,-33.625,-70.875
270,118570,35551111,28.62212397,77.26091299,28.625,77.125,117981,1062904,28.875,77.875,28.875,77.875
273,200527,9491846,-22.875,-43.33469282,-22.875,-43.375,200178,1182879,-22.625,-43.375,-22.625,-43.375
275,126053,1923249,25.375,82.875,25.375,82.875,126054,1469400,25.375,83.125,25.375,83.125
277,129247,36911158,23.82514422,90.49634007,23.875,90.375,128728,1157142,24.125,91.125,24.125,91.125
280,127258,2035493,24.875,121.375,24.875,121.375,127257,1363629,24.875,121.125,24.875,121.125
281,126738,5517231,25.125,121.5045044,25.125,121.625,127258,3399122,24.875,121.2747073,24.875,121.375
286,129247,39789368,23.81439378,90.51540266,23.875,90.375,130269,1346514,23.375,90.875,23.375,90.875
287,129247,41135882,23.80001096,90.52717347,23.875,90.375,130270,1781468,23.375,91.125,23.375,91.125
288,131808,28446089,22.58354845,88.30969896,22.625,88.375,132870,1248494,22.125,88.375,22.125,88.375
289,125509,5805471,25.625,85.15911076,25.625,85.125,125511,1309906,25.625,85.625,25.625,85.625
290,124574,5300468,25.875,-100.1980784,25.875,-100.125,125138,1779230,25.625,-100.125,25.625,-100.125
291,124574,7079698,25.8121714,-100.1797128,25.875,-100.125,125137,1396994,25.625,-100.375,25.625,-100.375
292,100815,1643776,35.875,51.375,35.875,51.375,100814,1642077,35.875,51.125,35.875,51.125
293,101381,7758277,35.625,51.46901798,35.625,51.375,100815,3285853,35.875,51.25006463,35.875,51.375
295,93173,8116083,39.125,117.1649025,39.125,117.125,93175,1249727,39.125,117.625,39.125,117.625
297,112517,35731482,31.21896147,121.3229882,31.125,121.375,111215,5240608,31.625,120.3459981,31.625,120.375
298,112517,40972090,31.27089655,121.1980246,31.125,121.375,111217,1266957,31.625,120.875,31.625,120.875
300,96815,21266388,37.50171795,126.9407143,37.625,127.125,98035,1169470,37.125,127.125,37.125,127.125
303,122080,1755679,27.125,78.125,27.125,78.125,122079,1510851,27.125,77.875,27.125,77.875
304,146835,23660632,14.59258357,121.0281569,14.625,121.125,147602,1378945,14.125,121.125,14.125,121.125
307,178426,6421263,-6.875,107.619032,-6.875,107.625,178804,1362306,-7.125,107.625,-7.125,107.625
308,178426,7783569,-6.918755827,107.6200765,-6.875,107.625,178803,1132595,-7.125,107.375,-7.125,107.375
309,122668,2267268,26.875,80.875,26.875,80.875,122669,1153367,26.875,81.125,26.875,81.125
310,142210,7628987,17.375,78.47710445,17.375,78.375,141769,1283769,17.625,78.375,17.625,78.375
312,110576,1911589,31.875,119.875,31.875,119.875,110577,1328740,31.875,120.125,31.875,120.125
314,126053,3392649,25.375,82.98327822,25.375,82.875,126052,1249171,25.375,82.625,25.375,82.625
318,112517,43525919,31.28092886,121.1709944,31.125,121.375,112514,1162129,31.125,120.625,31.125,120.625
319,112517,44688048,31.27687387,121.1567956,31.125,121.375,113169,1212531,30.875,120.875,30.875,120.875
321,113799,7125775,30.625,114.2925591,30.625,114.375,114445,1246726,30.375,114.375,30.375,114.375
322,91061,1734138,39.875,32.625,39.875,32.625,91062,1424942,39.875,32.875,39.875,32.875
324,131758,1705076,22.625,75.875,22.625,75.875,131759,1431209,22.625,76.125,22.625,76.125
325,123803,1962245,26.375,80.375,26.375,80.375,123802,1239841,26.375,80.125,26.375,80.125
326,109766,1889532,32.125,74.125,32.125,74.125,109767,1278613,32.125,74.375,32.125,74.375
328,129863,1735243,23.625,116.625,23.625,116.625,129862,1376651,23.625,116.375,23.625,116.375
329,130372,6264328,23.375,116.4065507,23.375,116.625,129863,3111894,23.625,116.5144041,23.625,116.625
330,131808,29694583,22.56426901,88.31244451,22.625,88.375,131810,1017357,22.625,88.875,22.625,88.875
338,112151,4985377,31.125,29.96602321,31.125,29.875,112153,1140339,31.125,30.375,31.125,30.375
339,124952,1620053,25.875,85.375,25.875,85.375,124953,1416923,25.875,85.625,25.875,85.625
340,125509,7115377,25.625,85.24487868,25.625,85.125,124952,3036976,25.875,85.4916393,25.875,85.375
341,125509,10152353,25.69978503,85.31869468,25.625,85.125,124951,1271478,25.875,85.125,25.875,85.125
342,125509,11423831,25.71928654,85.29713637,25.625,85.125,124950,1384056,25.875,84.875,25.875,84.875
343,125509,12807887,25.73611337,85.25151913,25.625,85.125,124954,1368242,25.875,85.875,25.875,85.875
344,125509,14176129,25.74951834,85.31169584,25.625,85.125,125512,1322514,25.625,85.875,25.625,85.875
345,125509,15498643,25.73889307,85.35976312,25.625,85.125,125513,1476105,25.625,86.125,25.625,86.125
346,125509,16974748,25.72898905,85.42630726,25.625,85.125,124955,1350152,25.875,86.125,25.875,86.125
347,212473,2044173,-33.375,-70.625,-33.375,-70.625,212472,1118898,-33.375,-70.875,-33.375,-70.875
348,212692,3653738,-33.625,-70.7034758,-33.625,-70.625,212473,3163071,-33.375,-70.71343447,-33.375,-70.625
351,115107,1610653,30.125,120.375,30.125,120.375,115106,1410940,30.125,120.125,30.125,120.125
352,114468,4840697,30.375,120.2068937,30.375,120.125,115107,3021593,30.125,120.2582619,30.125,120.375
353,114468,7862290,30.27892134,120.2266352,30.375,120.125,115108,1172965,30.125,120.625,30.125,120.625
354,103360,3899965,34.875,113.5769267,34.875,113.625,103944,1887135,34.625,113.625,34.625,113.625
357,134979,1983240,21.125,79.125,21.125,79.125,134978,1128519,21.125,78.875,21.125,78.875
359,125509,18324900,25.73974693,85.47778592,25.625,85.125,124386,1873005,26.125,85.375,26.125,85.375
360,125509,20197905,25.77547246,85.46825431,25.625,85.125,124385,1133418,26.125,85.125,26.125,85.125
361,125509,21331323,25.79404425,85.45001585,25.625,85.125,124387,1104007,26.125,85.625,26.125,85.625
362,125509,22435330,25.81033006,85.45862654,25.625,85.125,124388,1414861,26.125,85.875,26.125,85.875
363,125509,23850191,25.82899717,85.48332699,25.625,85.125,124389,1436200,26.125,86.125,26.125,86.125
365,127780,2645850,24.625,118.125,24.625,118.125,128307,2367495,24.375,118.125,24.375,118.125
369,125509,25286391,25.84580935,85.51977232,25.625,85.125,124384,1039404,26.125,84.875,26.125,84.875
371,119936,2096992,28.125,120.625,28.125,120.625,119937,1029149,28.125,120.875,28.125,120.875
374,125509,26325795,25.85683245,85.4943152,25.625,85.125,124390,1163344,26.125,86.375,26.125,86.375
376,125509,28453869,25.86841252,85.5601819,25.625,85.125,125514,1087712,25.625,86.375,25.625,86.375
378,125509,29541581,25.85945015,85.59018325,25.625,85.125,124949,1092177,25.875,84.625,25.875,84.625
379,125509,30633758,25.86000454,85.55577184,25.625,85.125,124383,1184698,26.125,84.625,26.125,84.625
380,125509,31818456,25.86987113,85.52111637,25.625,85.125,124382,1434698,26.125,84.375,26.125,84.375
381,125509,33253154,25.88087859,85.4716675,25.625,85.125,125507,1054597,25.625,84.625,25.625,84.625
383,119936,3126141,28.125,120.7073019,28.125,120.625,120529,2447156,27.875,120.625,27.875,120.625
385,114752,40101154,30.34021369,31.24477825,30.125,31.375,112157,1795007,31.125,31.375,31.125,31.375
387,114752,42838928,30.39036825,31.24759872,30.125,31.375,112158,1144657,31.125,31.625,31.125,31.625
388,114752,43983585,30.40948678,31.25742045,30.125,31.375,112155,1081661,31.125,30.875,31.125,30.875
390,114752,46031882,30.4360754,31.23515394,30.125,31.375,112154,1175166,31.125,30.625,31.125,30.625
391,114752,47207048,30.4532254,31.21996485,30.125,31.375,112151,6125716,31.125,30.0421567,31.125,29.875
394,131808,31497247,22.55527851,88.32594151,22.625,88.375,132868,1013320,22.125,87.875,22.125,87.875
397,123265,1487379,26.625,87.125,26.625,87.125,123266,1402675,26.625,87.375,26.625,87.375
399,109945,5938297,32.125,118.8048513,32.125,118.875,110572,1196351,31.875,118.875,31.875,118.875
400,169993,4141420,-1.375,36.82965372,-1.375,36.875,169612,1598823,-1.125,36.875,-1.125,36.875
401,123824,1440181,26.375,85.625,26.375,85.625,123823,1423801,26.375,85.375,26.375,85.375
402,125509,34307751,25.87301306,85.44564151,25.625,85.125,123824,2863982,26.375,85.50071491,26.375,85.625
403,125509,37171733,25.9116898,85.44988477,25.625,85.125,123825,1302327,26.375,85.875,26.375,85.875
404,125509,38474060,25.92737261,85.4642747,25.625,85.125,123826,1267655,26.375,86.125,26.375,86.125
405,125509,39741715,25.94165073,85.48535008,25.625,85.125,123822,1159699,26.375,85.125,26.375,85.125
406,125509,40901414,25.95393771,85.47513289,25.625,85.125,123821,1049933,26.375,84.875,26.375,84.875
407,125509,41951347,25.9644758,85.46011313,25.625,85.125,123820,1044699,26.375,84.625,26.375,84.625
408,125509,42996046,25.97445054,85.43982191,25.625,85.125,123819,1228529,26.375,84.375,26.375,84.375
413,80961,1450606,43.625,-79.375,43.625,-79.375,80960,1406289,43.625,-79.625,43.625,-79.625
415,112517,46867683,31.25818427,121.1385317,31.125,121.375,110576,3240329,31.875,119.9775158,31.875,119.875
416,112517,50108012,31.29807182,121.0634524,31.125,121.375,110578,1104208,31.875,120.375,31.875,120.375
417,112517,51212220,31.31051121,121.0486084,31.125,121.375,110579,1164271,31.875,120.625,31.875,120.625
418,112517,52376491,31.32305917,121.0391921,31.125,121.375,111213,1002128,31.625,119.875,31.625,119.875
419,126049,1495856,25.375,81.875,25.375,81.875,126048,1359182,25.375,81.625,25.375,81.625
425,125509,44224575,25.98557754,85.41024188,25.625,85.125,126062,1228637,25.375,85.125,25.375,85.125
426,125509,45453212,25.96907313,85.40253156,25.625,85.125,126063,1050629,25.375,85.375,25.375,85.375
431,85708,1744953,41.875,-87.625,41.875,-87.625,85707,1132530,41.875,-87.875,41.875,-87.875
433,131808,33451545,22.55123807,88.32772629,22.625,88.375,130776,1375515,23.125,88.375,23.125,88.375
436,122080,3266530,27.125,78.00936881,27.125,78.125,122081,1061409,27.125,78.375,27.125,78.375
442,205076,1512752,-26.375,27.875,-26.375,27.875,205077,1266649,-26.375,28.125,-26.375,28.125
443,204770,5511671,-26.125,28.06038416,-26.125,28.125,205076,2779401,-26.375,27.98893183,-26.375,27.875
444,204770,8291072,-26.20880705,28.03643133,-26.125,28.125,204476,1498975,-25.875,28.125,-25.875,28.125
451,184878,1701824,-11.625,27.375,-11.625,27.375,184879,1095557,-11.625,27.625,-11.625,27.625
457,160336,1609054,5.625,7.125,5.625,7.125,160337,1136798,5.625,7.375,5.625,7.375
463,177333,40836800,-6.300483008,106.8135717,-6.125,106.875,178426,9768125,-6.960657739,107.6138944,-6.875,107.625
465,106591,4258824,33.375,44.36821115,33.375,44.375,106017,1572273,33.625,44.375,33.625,44.375
468,125509,50994164,25.9298705,85.40284349,25.625,85.125,126066,1348159,25.375,86.125,25.375,86.125
469,125509,52342323,25.91557894,85.42144377,25.625,85.125,126067,1151527,25.375,86.375,25.375,86.375
471,155064,1520043,9.125,38.625,9.125,38.625,155065,1185064,9.125,38.875,9.125,38.875
476,85831,1532696,41.875,12.625,41.875,12.625,85830,1172146,41.875,12.375,41.875,12.375
478,88412,1421599,40.875,14.375,40.875,14.375,88411,1254476,40.875,14.125,40.875,14.125
482,159968,1326701,5.875,6.875,5.875,6.875,159969,1324006,5.875,7.125,5.875,7.125
483,159597,3062174,6.125,6.946925207,6.125,6.875,159968,2650707,5.875,6.999872911,5.875,6.875
487,130372,10742109,23.46423832,116.4973594,23.375,116.625,130888,1261909,23.125,116.375,23.125,116.375
489,130259,1399136,23.375,88.375,23.375,88.375,130260,1243995,23.375,88.625,23.375,88.625
490,131808,37987626,22.60099786,88.31122421,22.625,88.375,130259,2643131,23.375,88.49266301,23.375,88.375
493,161643,2978874,4.625,-74.125,4.625,-74.125,161989,1673405,4.375,-74.125,4.375,-74.125
496,131301,1493211,22.875,91.125,22.875,91.125,131302,1159122,22.875,91.375,22.875,91.375
497,131301,2652333,22.875,91.23425495,22.875,91.125,131300,1121262,22.875,90.875,22.875,90.875
498,125509,54486771,25.89430325,85.42708257,25.625,85.125,123818,1069724,26.375,84.125,26.375,84.125
503,125509,57432257,25.91079129,85.40354365,25.625,85.125,124957,1046455,25.875,86.625,25.875,86.625
506,130786,1318789,23.125,90.875,23.125,90.875,130787,1283560,23.125,91.125,23.125,91.125
507,129247,47023810,23.7834609,90.52623993,23.875,90.375,130786,2602349,23.125,90.99830783,23.125,90.875
508,129247,49626159,23.74893183,90.55099472,23.875,90.375,131301,3773595,22.875,91.12750822,22.875,91.125
509,129247,53399754,23.68717378,90.59173514,23.875,90.375,130788,1070919,23.125,91.375,23.125,91.375
514,103816,2649906,34.625,69.125,34.625,69.125,104394,1803253,34.375,69.125,34.375,69.125
517,126053,4641820,25.375,82.88686113,25.375,82.875,126051,1191255,25.375,82.375,25.375,82.375
518,93173,10068491,39.14244753,117.2192262,39.125,117.125,93780,1014455,38.875,117.375,38.875,117.375
522,74805,2300053,45.875,126.625,45.875,126.625,75567,2028683,45.625,126.625,45.625,126.625
532,150324,1270413,12.125,8.375,12.125,8.375,150325,1244547,12.125,8.625,12.125,8.625
533,150682,3772535,11.875,8.484569427,11.875,8.375,150324,2514960,12.125,8.498714393,12.125,8.375
536,87955,1431624,41.125,69.375,41.125,69.375,87954,1096325,41.125,69.125,41.125,69.125
541,122668,4165544,26.875,80.89951409,26.875,80.875,123240,1486162,26.625,80.875,26.625,80.875
544,129247,56250796,23.67858573,90.60371879,23.875,90.375,128197,1072587,24.375,90.625,24.375,90.625
545,129247,57323383,23.69161645,90.60411698,23.875,90.375,128198,1136083,24.375,90.875,24.375,90.875
547,123259,1293624,26.625,85.625,26.625,85.625,123258,1194666,26.625,85.375,26.625,85.375
548,125509,61415784,25.89642743,85.44328757,25.625,85.125,123259,2488290,26.625,85.50497119,26.625,85.625
549,125509,63904074,25.92479651,85.4456894,25.625,85.125,123257,1265349,26.625,85.125,26.625,85.125
550,125509,65169423,25.93839187,85.4394628,25.625,85.125,123256,1085059,26.625,84.875,26.625,84.875
558,179197,4928051,-7.375,112.6290068,-7.375,112.625,178824,1162217,-7.125,112.625,-7.125,112.625
560,129247,59761555,23.7073314,90.62606259,23.875,90.375,128722,1096560,24.125,89.625,24.125,89.625
563,129247,62468184,23.73187175,90.59185189,23.875,90.375,128193,1306896,24.375,89.625,24.375,89.625
567,128717,1407635,24.125,88.375,24.125,88.375,128716,1071473,24.125,88.125,24.125,88.125
575,179557,1416373,-7.625,110.875,-7.625,110.875,179556,1053857,-7.625,110.625,-7.625,110.625
576,117985,1444406,28.875,78.875,28.875,78.875,117984,1032205,28.875,78.625,28.875,78.625
584,179197,6090268,-7.327292042,112.6282422,-7.375,112.625,179564,1088713,-7.625,112.625,-7.625,112.625
590,122678,1382470,26.875,83.375,26.875,83.375,122679,1040608,26.875,83.625,26.875,83.625
597,126053,6719123,25.375,82.86048229,25.375,82.875,126049,3811227,25.375,81.8485654,25.375,81.875
598,179557,2470230,-7.625,110.7683442,-7.625,110.875,179555,1246497,-7.625,110.375,-7.625,110.375
602,159597,5712881,6.009003054,6.971492295,6.125,6.875,160336,2745852,5.625,7.22850139,5.625,7.125
606,116666,1225892,29.375,47.875,29.375,47.875,116667,1138757,29.375,48.125,29.375,48.125
617,102821,3703917,35.125,136.9411128,35.125,136.875,102219,1272888,35.375,136.875,35.375,136.875
619,118570,37586863,28.62287873,77.29417272,28.625,77.125,117383,1089772,29.125,77.625,29.125,77.625
623,127659,1245171,24.625,87.875,24.625,87.875,127660,1095875,24.625,88.125,24.625,88.125
629,135066,9650725,21.0211872,105.8624695,21.125,105.875,135579,2398495,20.875,106.5305907,20.875,106.625
637,131808,45035043,22.65193829,88.31901169,22.625,88.375,132323,1166046,22.375,87.375,22.375,87.375
643,125509,75532225,25.98051617,85.41539309,25.625,85.125,123252,1012529,26.625,83.875,26.625,83.875
646,106132,1282450,33.625,73.125,33.625,73.125,106131,1026677,33.625,72.875,33.625,72.875
654,93194,1267568,39.125,125.875,39.125,125.875,93193,1029679,39.125,125.625,39.125,125.625
657,120499,1205911,27.875,113.125,27.875,113.125,120498,1074434,27.875,112.875,27.875,112.875
658,119905,3688175,28.125,112.9752489,28.125,112.875,120499,2280345,27.875,113.0072071,27.875,113.125
667,127129,1213538,24.875,87.875,24.875,87.875,127130,1047182,24.875,88.125,24.875,88.125
668,127659,2341046,24.625,87.99202835,24.625,87.875,127129,2260720,24.875,87.99080182,24.875,87.875
673,125509,80631741,25.98765914,85.34606282,25.625,85.125,126058,1011275,25.375,84.125,25.375,84.125
676,161643,4652279,4.535076062,-74.125,4.625,-74.125,162321,2457341,4.125,-74.19919422,4.125,-74.125
691,125509,81643016,25.98007041,85.33093807,25.625,85.125,126599,1386584,25.125,85.625,25.125,85.625
693,125509,83867286,25.95739282,85.33623992,25.625,85.125,126597,1069152,25.125,85.125,25.125,85.125
701,125509,90732472,25.91427059,85.29341281,25.625,85.125,124945,1054422,25.875,83.625,25.875,83.625
707,125509,96256949,25.90786775,85.19242424,25.625,85.125,123250,1007122,26.625,83.375,26.625,83.375
708,125509,97264071,25.91529331,85.17360569,25.625,85.125,122678,3331142,26.875,83.38494734,26.875,83.375
712,125509,103408543,25.97231849,85.08735114,25.625,85.125,122683,1038025,26.875,84.625,26.875,84.625
713,125509,104446568,25.98128964,85.08275614,25.625,85.125,122684,1045914,26.875,84.875,26.875,84.875
731,125509,111081258,26.00240483,85.00174808,25.625,85.125,126053,10530350,25.375,82.49424138,25.375,82.875
744,125509,131642189,25.93317348,84.61814783,25.625,85.125,126588,1054728,25.125,82.875,25.125,82.875
763,129247,69248860,23.74800318,90.49874913,23.875,90.375,129242,1005215,23.875,89.125,23.875,89.125
779,125509,140160696,25.92765703,84.50864852,25.625,85.125,127118,2171529,24.875,85.01066581,24.875,85.125
781,125509,143147327,25.90569436,84.5211972,25.625,85.125,127120,1063008,24.875,85.625,24.875,85.625
802,124968,1069167,25.875,89.375,25.875,89.375,124967,1064982,25.875,89.125,25.875,89.125
803,124968,2134149,25.875,89.25024512,25.875,89.375,124966,1027705,25.875,88.875,25.875,88.875
805,203813,1087647,-25.375,-49.125,-25.375,-49.125,203812,1043170,-25.375,-49.375,-25.375,-49.375
806,127252,3628100,24.875,118.6123471,24.875,118.625,127782,1114010,24.625,118.625,24.625,118.625
807,127780,7098633,24.52034415,118.1037711,24.625,118.125,127252,4742110,24.81627034,118.6153195,24.875,118.625
809,119936,6341588,27.99823968,120.6958592,28.125,120.625,121108,1108460,27.625,120.625,27.625,120.625
810,146835,28234983,14.55069105,121.0340994,14.625,121.125,146052,1455256,15.125,120.625,15.125,120.625
813,115814,1121592,29.625,-95.625,29.625,-95.625,115815,1000996,29.625,-95.375,29.625,-95.375
815,127669,1114489,24.625,90.375,24.625,90.375,127670,1005543,24.625,90.625,24.625,90.625
816,129247,73361326,23.74542573,90.43402362,23.875,90.375,127669,2120032,24.625,90.49357639,24.625,90.375
825,125509,152569062,25.89607898,84.60994486,25.625,85.125,124961,1009300,25.875,87.625,25.875,87.625
827,125509,154382336,25.89452948,84.64405581,25.625,85.125,125519,1111223,25.625,87.625,25.625,87.625
831,125509,157973221,25.89214458,84.71573975,25.625,85.125,125521,1046174,25.625,88.125,25.625,88.125
833,125509,159732469,25.88808628,84.74882419,25.625,85.125,126605,3210410,25.125,87.11087875,25.125,87.125
849,100468,2815437,36.125,120.375,36.125,120.375,99896,1133404,36.375,120.375,36.375,120.375
855,129247,81899064,23.82273081,90.36903106,23.875,90.375,128717,3286098,24.125,88.35487864,24.125,88.375
857,129247,86048561,23.83981552,90.27712194,23.875,90.375,128189,1202675,24.375,88.625,24.375,88.625
859,129247,87991599,23.85163351,90.23853614,23.875,90.375,128187,1007182,24.375,88.125,24.375,88.125
861,129247,89814318,23.85544468,90.20245359,23.875,90.375,131808,49286754,22.66749199,88.34386344,22.625,88.375
865,129247,141352766,23.43616584,89.53065311,23.875,90.375,129239,1024812,23.875,88.375,23.875,88.375
867,129247,143037750,23.44133531,89.51819337,23.875,90.375,129238,1050342,23.875,88.125,23.875,88.125
874,129247,148515342,23.45157518,89.48338627,23.875,90.375,127659,4601766,24.74781807,87.99142579,24.625,87.875
878,129247,155142472,23.49444824,89.4267362,23.875,90.375,131295,1384330,22.875,89.625,22.875,89.625
889,179557,3716727,-7.625,110.6364265,-7.625,110.875,179926,1745246,-7.875,110.375,-7.875,110.375
892,159090,1785650,6.375,-75.625,6.375,-75.625,159462,1742563,6.125,-75.625,6.125,-75.625
899,125509,170796642,25.84953197,84.87776779,25.625,85.125,122106,2078906,27.125,84.74304334,27.125,84.625
902,151933,1071979,11.125,75.875,11.125,75.875,151934,1001671,11.125,76.125,11.125,76.125
910,129247,160691232,23.50083763,89.43047274,23.875,90.375,127135,2140905,24.875,89.28280698,24.875,89.375
914,129247,165417542,23.5401002,89.43590181,23.875,90.375,127139,1075365,24.875,90.375,24.875,90.375
922,104977,3077086,34.125,71.63573321,34.125,71.625,105553,1469762,33.875,71.625,33.875,71.625
928,146107,1786950,14.875,-17.375,14.875,-17.375,146496,1669680,14.625,-17.375,14.625,-17.375
932,158656,3118647,6.875,79.93405718,6.875,79.875,158275,1109765,7.125,79.875,7.125,79.875
978,125509,181451947,25.86907589,84.85238564,25.625,85.125,123265,2890054,26.625,87.2463364,26.625,87.125
981,139528,2178808,18.625,-69.94751121,18.625,-69.875,140026,2133483,18.375,-69.96781279,18.375,-69.875
1014,80961,2856895,43.625,-79.49806096,43.625,-79.375,80241,1358121,43.875,-79.375,43.875,-79.375
1016,75141,3045055,45.625,9.136334032,45.625,9.125,75895,1307889,45.375,9.125,45.375,9.125
1019,116599,3425305,29.375,30.87753408,29.375,30.875,117205,1985380,29.125,31.02469955,29.125,31.125
1026,151933,2073650,11.125,75.99576182,11.125,75.875,151550,1977442,11.375,75.97533012,11.375,75.875
1028,179197,9900784,-7.384818288,112.6264535,-7.375,112.625,179935,2012921,-7.875,112.7162925,-7.875,112.625
1037,111674,15396375,31.44144686,74.30596667,31.375,74.375,111034,1110480,31.625,75.125,31.625,75.125
1044,117985,3425859,28.875,78.86894626,28.875,78.875,118577,1930094,28.625,78.75195496,28.625,78.875
1047,118570,46318543,28.64521902,77.3240812,28.625,77.125,117985,6896914,28.77727426,78.80913565,28.875,78.875
1054,146835,30261109,14.58914378,121.0114244,14.625,121.125,147990,1051016,13.875,121.125,13.875,121.125
1064,212982,2093906,-33.875,18.625,-33.875,18.625,213190,1265800,-34.125,18.625,-34.125,18.625
1085,115814,2122588,29.625,-95.50710194,29.625,-95.625,115196,1896621,29.875,-95.49606913,29.875,-95.375
1090,118570,56128818,28.64826268,77.56749714,28.625,77.125,119171,3011894,28.375,79.38914052,28.375,79.375
1103,118570,62478967,28.62807143,77.73023077,28.625,77.125,120359,2775515,27.875,78.14005171,27.875,78.125
1114,106132,2309127,33.625,73.01384576,33.625,73.125,106705,1887220,33.375,72.98627147,33.375,72.875
1121,112517,56185262,31.34040614,120.9979865,31.125,121.375,113824,1137975,30.625,120.625,30.625,120.625
1123,112517,57976913,31.31829806,120.9892789,31.125,121.375,114468,10406037,30.25904034,120.2532183,30.375,120.125
1127,112517,70120729,31.13973111,120.8746602,31.125,121.375,115110,2314534,30.125,121.2261832,30.125,121.125
1128,112517,72435263,31.10730726,120.8858925,31.125,121.375,115733,3987963,29.875,121.6177546,29.875,121.625
1135,110240,2483416,31.875,35.9390986,31.875,35.875,109614,1877022,32.125,36.01602392,32.125,36.125
1145,111674,17120018,31.46888087,74.36156526,31.375,74.375,109766,4424524,32.125,74.23429012,32.125,74.125
