b.censusTracts,=,,,,
,-80.241177,25.735005,2920],,
,-80.411092,25.736728,6000],,
,-80.428414,25.737035,6024],,
,-80.392371,25.737676,6487],,
,-80.307515,25.738124,5315],,
,-80.376047,25.738905,6816],,
,-80.34019,25.739016,5183],,
,-80.347532,25.739083,4012],,
,-80.360368,25.739528,7402],,
,-80.249279,25.739879,6998],,
,-80.327642,25.739905,6569],,
,-80.160723,25.740625,14],,
,-80.219991,25.740952,3681],,
,-80.298376,25.742837,6375],,
,-80.262142,25.744905,1969],,
,-80.246488,25.746733,8883],,
,-80.229357,25.746764,5780],,
,-80.274562,25.747229,6147],,
,-80.360975,25.75014,5545],,
,-80.201035,25.75073,2229],,
,-80.448426,25.751496,11607],,
,-80.311211,25.751578,5276],,
,-80.295596,25.751823,4640],,
,-80.388687,25.752381,6896],,
,-80.423201,25.752385,8712],,
,-80.412501,25.752621,5211],,
,-80.39452,25.752893,7031],,
,-80.259972,25.753097,2967],,
,-80.404824,25.753851,5813],,
,-80.218703,25.754414,2295],,
,-80.344266,25.754449,7354],,
,-80.245652,25.754533,5270],,
,-80.225648,25.754769,2576],,
,-80.234486,25.754859,3260],,
,-80.195586,25.754885,3776],,
,-80.374391,25.754978,2749],,
,-80.328344,25.755368,6744],,
,-80.190064,25.757749,1756],,
,-80.361705,25.75813,4483],,
,-80.311674,25.758753,4426],,
,-80.278069,25.759207,4988],,
,-80.296681,25.759771,4325],,
,-80.263499,25.760115,2843],,
,-80.257516,25.760206,3621],,
,-80.1975,25.760587,9431],,
,-80.207896,25.76155,7327],,
,-80.246966,25.761631,6305],,
,-80.189994,25.761666,1561],,
,-80.234542,25.761757,3690],,
,-80.226091,25.761979,3655],,
,-80.218381,25.762075,3769],,
,-80.382945,25.764334,2118],,
,-80.18969,25.764648,2861],,
,-80.402864,25.764757,4677],,
,-80.370909,25.764842,3024],,
,-80.360114,25.764962,4167],,
,-80.376687,25.764965,4729],,
,-80.199304,25.765878,5735],,
,-80.340384,25.765979,9898],,
,-80.302687,25.766632,9593],,
,-80.226457,25.767546,3387],,
,-80.184704,25.767631,4002],,
,-80.281255,25.767694,6956],,
,-80.218539,25.767789,4204],,
,-80.264407,25.768346,4700],,
,-80.234483,25.768641,2331],,
,-80.136444,25.768684,4302],,
,-80.246821,25.768791,7034],,
,-80.188995,25.768928,408],,
,-80.210939,25.769536,7230],,
,-80.144838,25.769802,59],,
,-80.194663,25.770428,1069],,
,-80.226627,25.770516,3827],,
,-80.218824,25.771047,3542],,
,-80.204355,25.771916,6942],,
,-80.374935,25.772036,6202],,
,-80.346723,25.772084,5372],,
,-80.362516,25.773295,3384],,
,-80.295733,25.773592,6076],,
,-80.188371,25.773639,1258],,
,-80.33213,25.774369,4024],,
,-80.379649,25.774485,6191],,
,-80.265229,25.774707,6377],,
,-80.338579,25.774905,2650],,
,-80.279218,25.775052,7881],,
